FunctionID_f,AvgServiceTimeMilliseconds,Invocations30Days
3324,244,2626
383,1860,2603
5974,93816,2595
7258,46899,2592
827,2075,2575
4542,263,2560
1459,115,2558
9986,403,2546
3087,12913,2534
1796,111,2530
1937,144,2520
7972,114,2520
8812,922,2518
9521,41442,2510
1233,212,2507
8598,516,2472
1981,433,2463
8465,339,2448
6314,356,2437
9398,316,2435
2984,1772,2427
317,2,2400
1586,6,2395
6883,298,2395
457,1331,2393
9377,38,2372
7376,12322,2368
4305,11895,2363
4259,5840,2333
4650,10,2327
8966,62,2323
6709,16,2307
2064,47,2305
1437,378,2304
2165,1,2304
2185,135,2303
9260,1749,2299
1082,1,2298
7061,354,2296
5074,1808,2274
3237,98,2260
8269,1060,2255
1993,10195,2241
5598,104,2227
3610,31,2221
6700,24438,2216
8989,1012,2203
5280,27995,2188
1424,38,2186
3308,14483,2177
10287,1,2170
594,1303,2152
5339,715,2148
4498,52240,2141
7913,1120,2138
2226,909,2135
7483,49841,2123
9016,1,2116
3067,470,2105
4941,10,2092
8149,209,2064
8534,115,2060
1946,27,2057
4376,2146,2016
5949,10,2015
7505,11,1997
2022,1,1992
9711,1054,1981
8838,3631,1974
5384,101,1966
8000,10819,1966
7808,137,1964
6014,16,1961
2326,460,1960
3527,413,1959
4583,103,1957
9712,1149,1954
7715,92,1950
7902,404,1920
546,1289,1915
4359,42,1914
9746,257,1890
72,1030,1875
6860,117,1872
10601,26,1872
4938,392,1861
7517,186,1860
9702,861,1855
881,102,1851
2399,146,1836
10408,262,1825
7392,6715,1818
2656,177,1801
1838,131,1776
4952,12,1774
7731,146,1752
9554,112,1750
2849,10,1735
306,15,1730
4785,1,1728
3592,12794,1722
9202,313,1712
10461,1006,1706
2595,1096,1699
7046,54,1697
8292,125,1693
6825,231,1692
8876,5446,1682
7281,145,1681
2104,286,1679
9337,18781,1678
2151,158,1677
3411,298,1664
10190,1688,1664
297,153,1660
3727,11584,1655
2095,103,1651
850,1,1619
5267,2347,1609
4281,213,1590
10413,19,1588
2050,14,1584
5788,1,1581
4330,102,1568
286,1106,1557
2437,19,1546
2496,3914,1542
8651,11661,1540
6924,206,1537
9792,319,1535
2214,81,1533
6971,1053,1533
4564,16,1532
1092,94,1530
1396,3068,1524
10001,1982,1524
4254,12201,1521
2488,2305,1507
10013,39,1507
6516,967,1505
6335,16,1500
9503,10,1500
9562,113,1483
9435,76,1482
4678,14382,1479
6650,11,1474
2311,68,1472
8886,25913,1472
430,131,1461
2852,1487,1457
5783,907,1455
3752,49,1451
7347,1411,1451
10700,1406,1448
264,1358,1446
4229,42308,1446
6902,4780,1446
10590,137,1446
612,118,1445
933,1,1445
2671,1,1445
3147,120,1445
3821,430,1445
3900,21104,1445
4257,1,1445
4775,199,1445
5006,343,1445
5189,703,1445
6697,1,1445
7288,1828,1445
7719,227,1445
8697,114,1445
3007,520,1444
3798,111,1443
3969,10,1443
9251,271,1443
121,108,1442
5263,98,1442
9653,1268,1442
1016,1,1441
5522,100,1441
6739,1,1441
59,134,1440
64,1705,1440
125,2303,1440
137,10,1440
173,1,1440
203,522,1440
218,1,1440
266,2118,1440
303,172,1440
327,21,1440
445,1,1440
453,605,1440
486,328,1440
536,241,1440
537,235,1440
551,163,1440
601,209,1440
603,147,1440
683,1,1440
705,737,1440
715,14,1440
722,324,1440
725,1,1440
782,140,1440
831,162,1440
840,1,1440
847,111,1440
856,426,1440
872,160,1440
889,362,1440
908,1,1440
922,1,1440
924,30208,1440
981,441,1440
998,140,1440
1007,193,1440
1060,448,1440
1067,5283,1440
1107,225,1440
1111,106,1440
1151,891,1440
1152,2,1440
1183,22054,1440
1208,1,1440
1246,29797,1440
1285,85,1440
1291,230,1440
1296,1,1440
1309,1,1440
1311,1,1440
1358,17,1440
1416,131,1440
1428,68,1440
1464,207,1440
1498,133,1440
1588,2,1440
1625,1,1440
1696,115,1440
1701,635,1440
1805,129,1440
1826,1159,1440
1878,1,1440
1917,107,1440
1924,163,1440
1955,880,1440
2023,1,1440
2040,1,1440
2087,242,1440
2200,122,1440
2244,132,1440
2349,539,1440
2391,65,1440
2422,2083,1440
2434,174,1440
2439,852,1440
2463,1,1440
2491,17,1440
2495,1,1440
2587,5300,1440
2602,1324,1440
2611,102,1440
2615,2,1440
2672,6,1440
2693,1,1440
2700,134,1440
2734,35,1440
2854,117,1440
2868,40,1440
2869,146,1440
2892,412,1440
2905,105,1440
2929,18,1440
2934,1,1440
2960,16,1440
2967,559,1440
2986,200,1440
2990,1,1440
2991,59648,1440
3026,15,1440
3060,147,1440
3099,5230,1440
3202,4,1440
3230,79,1440
3239,10,1440
3264,1349,1440
3303,1,1440
3348,66,1440
3377,113,1440
3384,5585,1440
3385,1,1440
3401,255,1440
3454,1,1440
3466,1,1440
3480,1,1440
3531,483,1440
3595,154,1440
3615,1,1440
3632,4181,1440
3652,1,1440
3675,220,1440
3680,1,1440
3691,1,1440
3776,352,1440
3785,2057,1440
3795,230,1440
3801,1186,1440
3835,95,1440
3858,740,1440
3874,120,1440
3895,15,1440
3943,248,1440
3976,1,1440
3980,159,1440
4004,1497,1440
4007,1,1440
4024,7746,1440
4053,221,1440
4060,1430,1440
4063,1,1440
4070,256,1440
4075,1,1440
4079,10672,1440
4097,1,1440
4098,455,1440
4167,159,1440
4191,178,1440
4208,1,1440
4277,266,1440
4289,98,1440
4311,12539,1440
4326,108,1440
4456,388,1440
4500,149,1440
4503,486,1440
4529,21502,1440
4572,107,1440
4589,156,1440
4619,1,1440
4648,322,1440
4665,1,1440
4712,108,1440
4725,3,1440
4808,127,1440
4809,1,1440
4812,315,1440
4843,201,1440
4862,121,1440
4871,539,1440
4880,190,1440
4905,1,1440
4919,632,1440
4968,209,1440
4979,451,1440
4995,1,1440
4998,1,1440
5004,1,1440
5028,105,1440
5064,1856,1440
5172,1,1440
5210,177,1440
5232,29,1440
5331,480,1440
5407,10,1440
5469,1,1440
5479,105,1440
5518,12,1440
5550,95,1440
5593,1,1440
5597,116,1440
5629,120,1440
5646,20,1440
5661,184,1440
5698,11696,1440
5703,118,1440
5729,29887,1440
5730,1986,1440
5732,1805,1440
5768,180,1440
5770,130,1440
5838,16,1440
5879,1,1440
5884,1906,1440
5892,1,1440
5896,1233,1440
5898,112,1440
5919,104,1440
5939,11,1440
5963,1537,1440
5995,200,1440
6006,1,1440
6011,50,1440
6034,183,1440
6060,59,1440
6070,101,1440
6081,117,1440
6088,124,1440
6089,2102,1440
6101,161,1440
6109,25,1440
6112,123,1440
6142,1,1440
6204,1000,1440
6207,151,1440
6223,300,1440
6254,158,1440
6300,564,1440
6311,1243,1440
6344,1137,1440
6359,144,1440
6406,1327,1440
6410,1,1440
6455,1,1440
6463,16128,1440
6512,4,1440
6537,100,1440
6547,890,1440
6560,3,1440
6580,1662,1440
6618,14,1440
6660,1,1440
6679,1,1440
6696,4157,1440
6803,15,1440
6811,115,1440
6975,1161,1440
6979,482,1440
7021,14985,1440
7042,6601,1440
7052,2264,1440
7078,1,1440
7109,50,1440
7113,130,1440
7114,1,1440
7133,1,1440
